"Identifiant de la mission";"Code thème IGAS";"Thème IGAS";"Code thème régional";"Thème régional";"Type de mission";"Type de planification";"Modalité de la mission";"Code FINESS";"Date réelle Visite";"Date réelle Rapport";"Nombre d écarts";"Nombre de remarques";"Injonction";"Prescription";"Recommandation";"Saisine CNG";"Saisine juridiction/ordinale";"Saisine parquet";"Autre saisine";"Statut de la mission"
"2023_ARA_00373";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010788644";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00374";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010784353";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00375";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010784437";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00376";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"030004428";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00377";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"030780761";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00378";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"030780993";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00379";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"070783691";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00380";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"010003598";"23/06/2023";"08/09/2023";5;1;0;5;1;0;0;0;0;Clôturé
"2023_ARA_00381";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"070784277";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00382";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"070784558";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00383";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"070784590";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00384";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"150002426";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00385";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"150002822";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00386";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"150780195";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00387";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"150780484";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00388";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"260000906";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00389";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"260003868";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00390";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"260005228";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00391";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"260010574";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00392";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"380019323";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00393";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"380019786";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00394";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"380019851";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
"2023_ARA_00395";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"380781583";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Clôturé
"2023_ARA_00396";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"420781882";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Clôturé
"2023_ARA_00397";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"420781908";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Clôturé
"2023_ARA_00398";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"420781916";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Clôturé
"2023_ARA_00399";MS634D13;Etablissements et services pour personnes âgées (EHPAD, SSIAD...). Prévention des risques,Bientraitance, Qualité;ARA_2023_MS634D13_00326;Contrôles sur pièces - PLAN EHPAD 2022 2024;Contrôle sur pièces;Programmé;Inopinée;"420781932";"23/06/2023";"";0;0;0;0;0;0;0;0;0;Maintenu
