finess_et;year;month;profession2_code;effectif;ind_qual_effectif_code;ind_redr_effectif_code;ind_masq_effectif_code
010001261;2022;5;2;431.0;;;
010001261;2022;5;11;604.0;;;
010001261;2022;5;12;358.0;;;
010001261;2022;5;14;260.0;;;
010001261;2022;5;13;339.0;;;
010001261;2022;5;3;192.0;;;
010001261;2022;5;5;304.0;;;
010001261;2022;5;4;208.0;;;
010001261;2022;5;15;301.0;;;
010001261;2022;5;6;303.0;;;
010001261;2022;6;9;367.0;;;
010001261;2022;6;8;283.0;;;
010001261;2022;6;16;390.0;;;
010001261;2022;6;7;192.0;;;
010001261;2022;6;1;310.0;;;
010001261;2022;6;10;199.0;;;
010001261;2022;6;2;268.0;;;
010001261;2022;6;11;271.0;;;
010001261;2022;6;12;568.0;;;
010001261;2022;6;14;275.0;;;
010001261;2022;6;13;516.0;;;
010001261;2022;6;3;488.0;;;
010001261;2022;6;5;506.0;;;
010001261;2022;6;4;440.0;;;
010001261;2022;6;15;633.0;;;
010001261;2022;6;6;346.0;;;
010001261;2022;7;9;564.0;;;
010001261;2022;7;8;298.0;;;
010001261;2022;7;16;454.0;;;
010001261;2022;7;7;513.0;;;
010001261;2022;7;1;553.0;;;
010001261;2022;7;10;462.0;;;
010001261;2022;7;2;622.0;;;
010001261;2022;7;11;374.0;;;
010001261;2022;7;12;253.0;;;
010001261;2022;7;14;386.0;;;
010001261;2022;7;13;185.0;;;
010001261;2022;7;3;336.0;;;
010001261;2022;7;5;188.0;;;
010001261;2022;7;4;294.0;;;
010001261;2022;7;15;305.0;;;
010001261;2022;7;6;567.0;;;
010001261;2022;8;9;255.0;;;
010001261;2022;8;8;355.0;;;
010001261;2022;8;16;183.0;;;
010001261;2022;8;7;290.0;;;
010001261;2022;8;1;195.0;;;
010001261;2022;8;10;279.0;;;
010001261;2022;8;2;277.0;;;
010001261;2022;8;11;557.0;;;
010001261;2022;8;12;317.0;;;
010001261;2022;8;14;528.0;;;
010001261;2022;8;13;482.0;;;
010001261;2022;8;3;523.0;;;
010001261;2022;8;5;485.0;;;
010001261;2022;8;4;644.0;;;
010001261;2022;8;15;340.0;;;
010001261;2022;8;6;282.0;;;
010001261;2022;9;9;271.0;;;
010001261;2022;9;8;514.0;;;
010001261;2022;9;16;480.0;;;
010001261;2022;9;7;524.0;;;
010001261;2022;9;1;469.0;;;
010001261;2022;9;10;638.0;;;
010001261;2022;9;2;366.0;;;
010001261;2022;9;11;257.0;;;
010001261;2022;9;12;349.0;;;
010001261;2022;9;14;212.0;;;
010001261;2022;9;13;342.0;;;
010001261;2022;9;3;188.0;;;
010001261;2022;9;5;303.0;;;
010001261;2022;9;4;316.0;;;
010001261;2022;9;15;535.0;;;
010001261;2022;9;6;310.0;;;
010001261;2022;10;9;378.0;;;
010001261;2022;10;8;290.0;;;
010001261;2022;10;16;393.0;;;
010001261;2022;10;7;189.0;;;
010001261;2022;10;1;299.0;;;
010001261;2022;10;10;216.0;;;
010001261;2022;10;2;280.0;;;
010001261;2022;10;11;317.0;;;
010001261;2022;10;12;474.0;;;
010001261;2022;10;14;491.0;;;
010001261;2022;10;13;549.0;;;
010001261;2022;10;3;514.0;;;
010001261;2022;10;5;691.0;;;
010001261;2022;10;4;342.0;;;
010001261;2022;10;15;276.0;;;
010001261;2022;10;6;356.0;;;
010001261;2022;11;9;223.0;;;
010001261;2022;11;8;331.0;;;
010001261;2022;11;16;300.0;;;
010001261;2022;11;7;522.0;;;
010001261;2022;11;1;544.0;;;
010001261;2022;11;10;511.0;;;
010001261;2022;11;2;659.0;;;
010001261;2022;11;11;342.0;;;
010001261;2022;11;12;275.0;;;
010001261;2022;11;14;349.0;;;
010001261;2022;11;13;219.0;;;
010001261;2022;11;3;344.0;;;
010001261;2022;11;5;208.0;;;
010001261;2022;11;4;329.0;;;
010001261;2022;11;15;325.0;;;
010001261;2022;11;6;476.0;;;
010001261;2022;12;9;524.0;;;
010001261;2022;12;8;630.0;;;
010001261;2022;12;16;347.0;;;
010001261;2022;12;7;309.0;;;
010001261;2022;12;1;375.0;;;
010001261;2022;12;10;218.0;;;
010001261;2022;12;2;319.0;;;
010001261;2022;12;11;198.0;;;
010001261;2022;12;12;325.0;;;
010001261;2022;12;14;325.0;;;
010001261;2022;12;13;512.0;;;
010001261;2022;12;3;491.0;;;
010001261;2022;12;5;490.0;;;
010001261;2022;12;4;620.0;;;
010001261;2022;12;15;405.0;;;
010001261;2022;12;6;295.0;;;
010001261;2021;1;7;326.0;;;
010001261;2020;1;7;312.0;;;
010001261;2019;1;7;568.0;;;
010001261;2018;1;7;329.0;;;
010001436;2022;1;7;499.0;;;
010001437;2021;1;7;525.0;;;
010001438;2020;1;7;519.0;;;
010001439;2019;1;7;524.0;;;
010001440;2018;1;7;655.0;;;
010001741;2022;1;7;415.0;;;
010001742;2021;1;7;278.0;;;
010001743;2020;1;7;358.0;;;
010001744;2019;1;7;222.0;;;
010001745;2018;1;7;343.0;;;
