"IDENTIFIANT";"NDEG_FINESS_RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
"0100081752023";"010008175";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"0100088522022";"010008852";"2022";;;;;;;;;;;;;;1;1;1;;;;;;;;;;
"0100092232022";"010009223";"2022";;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;
"0100092312021";"010009231";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0100092722022";"010009272";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0100093302021";"010009330";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100095872021";"010009587";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100101712022";"010010171";"2022";;;;;;;;;;;;;;2;;;2;;;1;;;;;;
"0100116412021";"010011641";"2021";;;;;;;;;;;;;;3;1;;2;1;;;;;;;;
"0100116412022";"010011641";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"0100117242022";"010011724";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"0107801952021";"010780195";"2021";;;;;;;;;;;;;;4;;;3;;1;1;;;;;;
"0107801952022";"010780195";"2022";;;;;;;;;;;;;;2;1;;;;;1;;;;;;
"0107801952023";"010780195";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"0107802032021";"010780203";"2021";;;;;;;;;;;;;;5;;;3;;;1;1;1;;;;
"0107802032022";"010780203";"2022";1;;;1;;;1;;;;;;;7;;;3;1;;4;1;1;;;;1
"0107802032023";"010780203";"2023";1;;;1;;;1;;;;;;;1;;;;;;1;1;;;;;
"0107802782021";"010780278";"2021";;;;;;;;;;;;;;3;;;;;;;;;;;;3
"0107802782023";"010780278";"2023";;;;;;;;;;;;;;2;;;1;1;;1;;;;;;
"0107805672021";"010780567";"2021";;;;;;;;;;;;;;3;1;2;;1;;;;;;;;1
"0107805672022";"010780567";"2022";1;;1;;1;;;;;;;;;;;;;;;;;;;;;
"0107805832023";"010780583";"2023";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"0107806332022";"010780633";"2022";2;1;2;;;;2;;;;;;;;;;;;;;;;;;;
"0107806332023";"010780633";"2023";2;;;;;;2;;;;;;;;;;;;;;;;;;;
"0107807082021";"010780708";"2021";;;;;;;;;;;;;;4;;1;;;;;;;;;;3
"0107809062021";"010780906";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0107809632021";"010780963";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0107809632022";"010780963";"2022";1;;;;;;;1;;;;;;;;;;;;;;;;;;
"0107809712021";"010780971";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0107809712022";"010780971";"2022";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"0107809892021";"010780989";"2021";;;;;;;;;;;;;;1;1;1;;;;;;;;;;
"0107809892022";"010780989";"2022";;;;;;;;;;;;;;1;;1;1;;;1;;;;;;
"0107810032023";"010781003";"2023";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107810112021";"010781011";"2021";;;;;;;;;;;;;;3;1;3;;2;;;;;;;;
"0107810292021";"010781029";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0107810782022";"010781078";"2022";;;;;;;;;;;;;;2;;1;;1;;1;;;;;;
"0107841062023";"010784106";"2023";1;;1;;;;1;;;;;;;;;;;;;;;;;;;
"0107841302023";"010784130";"2023";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"0107842212023";"010784221";"2023";;;;;;;;;;;;;;1;;;;;1;1;;;;;;
"0107843532021";"010784353";"2021";;;;;;;;;;;;;;1;1;1;;;1;;1;;;;;
"0107844372021";"010784437";"2021";;;;;;;;;;;;;;1;;1;;1;;1;;;;;;
"0107844372022";"010784437";"2022";1;;1;;;;1;;;;;;;;;;;;;;;;;;;
"0107845102021";"010784510";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0107845102022";"010784510";"2022";;;;;;;;;;;;;;1;1;;;1;;1;;;;;;
"0107845362022";"010784536";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;
"0107846922022";"010784692";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107856732021";"010785673";"2021";;;;;;;;;;;;;;1;1;;;;;;;1;;;;
"0107856812023";"010785681";"2023";2;1;1;1;;;;;;;;;;;;;;;;;;;;;;
"0107858222021";"010785822";"2021";;;;;;;;;;;;;;1;;;;1;;1;;;;;;
"0107858222022";"010785822";"2022";;;;;;;;;;;;;;2;2;1;;1;;1;;;;;;
"0107858222023";"010785822";"2023";2;;1;2;2;;;;;;;;;;;;;;;;;;;;;
"0107860102022";"010786010";"2022";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"0107860362021";"010786036";"2021";;;;;;;;;;;;;;3;;;2;1;;;;;;;;3
"0107860772021";"010786077";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;;2
"0107860852021";"010786085";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107861012021";"010786101";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;1
"0107861012023";"010786101";"2023";;;;;;;;;;;;;;1;;1;1;1;;1;;;;;;
"0107861192022";"010786119";"2022";1;;;1;;;1;;;;;;;;;;;;;;;;;;;
"0107861432023";"010786143";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"0107861502021";"010786150";"2021";;;;;;;;;;;;;;2;;;1;;;1;;;;;;1
"0107861502022";"010786150";"2022";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"0107871902023";"010787190";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0107880322021";"010788032";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;;2
"0107882222021";"010788222";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0107883962023";"010788396";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0107886692021";"010788669";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0107886692023";"010788669";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"0107887432023";"010788743";"2023";;;;;;;;;;;;;;2;;;1;;;1;;;;;;
"0107887502021";"010788750";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0107888182022";"010788818";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107890302022";"010789030";"2022";;;;;;;;;;;;;;1;;;;;;1;1;;;;;
"0107891882021";"010789188";"2021";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"0107891882022";"010789188";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"0107892042021";"010789204";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;1
"0107892952021";"010789295";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107894772022";"010789477";"2022";1;;1;;;;1;;;;;;;;;;;;;;;;;;;
"0107898732022";"010789873";"2022";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"0107899562021";"010789956";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107899562023";"010789956";"2023";1;;1;1;;;;;;;;;;;;;;;;;;;;;;
"0107899642021";"010789964";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0107899642023";"010789964";"2023";;;;;;;;;;;;;;1;;1;1;1;;1;;;;;;
"0107900202021";"010790020";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"0107900202022";"010790020";"2022";2;;1;;;1;2;;;;;1;;;;;;;;;;;;;;
"0200000302021";"020000030";"2021";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200000892022";"020000089";"2022";1;;;1;1;;1;;;;;;;;;;;;;;;;;;;
"0200000892023";"020000089";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200000972021";"020000097";"2021";2;;;2;;;;1;;;;;;;;;;;;;;;;;;
"0200000972022";"020000097";"2022";1;;;;;;1;1;;;;;;;;;;;;;;;;;;
"0200000972023";"020000097";"2023";3;;2;;;1;;;;;;;;;;;;;;;;;;;;
"0200001052023";"020000105";"2023";2;1;;1;;;1;1;;;;;;;;;;;;;;;;;;
"0200001472021";"020000147";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200001622021";"020000162";"2021";5;1;3;3;1;;2;;;;;;1;24;2;4;9;;;;2;;;;7;4
"0200001622022";"020000162";"2022";20;5;3;12;2;;6;1;;;;2;;4;;1;1;;;;;;;;2;
"0200001622023";"020000162";"2023";10;4;1;5;;;3;;;;;1;;3;;2;;;;;;;;;1;
"0200002042023";"020000204";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200002122022";"020000212";"2022";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200002382022";"020000238";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200002382023";"020000238";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;;
"0200002462023";"020000246";"2023";1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
"0200002792021";"020000279";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200002792022";"020000279";"2022";1;;;1;;;1;;;;;;;1;;1;;;;;;;;;;
"0200002792023";"020000279";"2023";1;;;;;;;;;;;1;;1;;;;;;;;;;;1;
"0200002952021";"020000295";"2021";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"0200003032021";"020000303";"2021";2;;;;;;2;;;;;;;1;;1;1;1;;;;;;;;
"0200003032022";"020000303";"2022";4;1;;1;;;1;1;;;;1;;2;;;1;;;1;;;;;1;
"0200003862022";"020000386";"2022";1;;;;;;;;;;;1;;1;;;;;;;;;;;1;
"0200003942021";"020000394";"2021";;;;;;;;;;;;;;10;1;1;5;1;;2;1;;;;;2
"0200003942022";"020000394";"2022";7;;1;2;;;1;;;;;1;;2;1;;;1;;1;;;;;1;
"0200003942023";"020000394";"2023";11;;;9;;;4;;;;;2;;2;;;;;;;;;;;2;
"0200004022021";"020000402";"2021";1;;;;;;;;;;;1;;13;;;;;;;;;;;13;
"0200004022022";"020000402";"2022";;;;;;;;;;;;;;13;;;;;;1;;;;;12;
"0200004022023";"020000402";"2023";2;;;1;;;;;;;;1;;6;;;;;;;;;;;5;
"0200004102021";"020000410";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200004282021";"020000428";"2021";1;;;;;;;;;;;1;;5;;;;;;;;;;;4;
"0200004282022";"020000428";"2022";;;;;;;;;;;;;;3;;;;;;1;;;;;2;
"0200004282023";"020000428";"2023";1;;;;;;;;;;;1;;5;;;;;;;;;;;5;
"0200004442021";"020000444";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200004772021";"020000477";"2021";2;;;;;;;;;;;2;;;;;;;;;;;;;;
"0200004772023";"020000477";"2023";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200004852021";"020000485";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200004852023";"020000485";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200004932021";"020000493";"2021";;;;;;;;;;;;;;4;;;;;;;;;;;4;
"0200004932022";"020000493";"2022";1;;1;;;;;;;;;1;;6;2;;;;;1;;;;;3;
"0200004932023";"020000493";"2023";;;;;;;;;;;;;;3;;;;;;;;;;;3;
"0200005192021";"020000519";"2021";6;;1;4;;;3;1;;;;;;3;;;2;;;;1;;;;1;
"0200005192022";"020000519";"2022";12;;3;8;;;5;;;;;1;;2;;;1;;;2;;;;;;
"0200005192023";"020000519";"2023";5;1;1;3;1;;2;1;;;;;;;;;;;;;;;;;;
"0200005272021";"020000527";"2021";1;;;1;;;;;;;;;;1;;;;1;;;;;;;;
"0200005272022";"020000527";"2022";1;;;;;;1;;;;;;;2;;;;;;;;;;;2;
"0200005272023";"020000527";"2023";;;;;;;;;;;;;;2;2;;;;;;;;;;;
"0200005352021";"020000535";"2021";2;;;2;;;;;;;;;;5;;;1;;;2;3;;;;1;1
"0200005352022";"020000535";"2022";7;;;4;1;;3;2;;;;;1;;;;;;;;;;;;;
"0200005352023";"020000535";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200005432021";"020000543";"2021";6;;1;1;1;;2;;;;;4;;7;2;;;1;;1;;;;;4;
"0200005432022";"020000543";"2022";8;1;1;2;;;1;1;;;;4;;1;;1;;;;;;;;;;
"0200005432023";"020000543";"2023";4;1;;1;;;;;;;;2;;1;;;;;;;;;;;;
"0200006342021";"020000634";"2021";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"0200006342022";"020000634";"2022";2;1;1;;2;;;;;;;;1;;;;;;;;;;;;;
"0200006342023";"020000634";"2023";3;;3;3;2;;1;;;;;;1;;;;;;;;;;;;;
"0200009152021";"020000915";"2021";4;;1;2;1;;1;;;;;;;2;1;;1;;;;;;;;1;
"0200009152022";"020000915";"2022";2;;;2;1;;1;;;;;;;;;;;;;;;;;;;
"0200009152023";"020000915";"2023";7;;1;6;;;2;2;;;;;;;;;;;;;;;;;;
"0200010612021";"020001061";"2021";3;;;1;;;1;1;;;;1;;8;;;6;2;;1;;;;;1;4
"0200010612022";"020001061";"2022";4;;;2;1;;1;1;;;;1;;1;;;;;;1;;;;;;
"0200010612023";"020001061";"2023";5;;3;3;;;1;1;;;;;;;;;;;;;;;;;;
"0200010872021";"020001087";"2021";2;;;2;1;;;;;;;;;6;;1;6;1;;3;;;;;;1
"0200010872022";"020001087";"2022";5;;1;2;;;1;;;;;2;;3;;;3;;;2;;;;;;1
"0200010872023";"020001087";"2023";3;;1;1;1;;;;;;;;;;;;;;;;;;;;;
"0200017312021";"020001731";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200017722023";"020001772";"2023";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200018552023";"020001855";"2023";;;;;;;;;;;;;;3;;;;;;;;;;;2;
"0200018632023";"020001863";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200020442021";"020002044";"2021";2;;;;;;1;;;;;1;;;;;;;;;;;;;;
"0200020442022";"020002044";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200020442023";"020002044";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200020692023";"020002069";"2023";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200020932021";"020002093";"2021";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200021012022";"020002101";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200021012023";"020002101";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"0200021192021";"020002119";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200021192022";"020002119";"2022";3;;;;;;;;;;;3;;1;;1;;;;;;;;;;
"0200021192023";"020002119";"2023";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200021272021";"020002127";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0200021272022";"020002127";"2022";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"0200021352021";"020002135";"2021";;;;;;;;;;;;;;3;1;;1;;;;;;;;1;
"0200021352022";"020002135";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0200021352023";"020002135";"2023";3;2;;1;;;;;;;;;;1;;;;;;;;;;;;
"0200021432022";"020002143";"2022";1;;;;;;;1;;;;;;;;;;;;;;;;;;
"0200021502021";"020002150";"2021";1;;1;;;;;;;;;;;1;;1;;;;;;;;;;
"0200021682021";"020002168";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200021762021";"020002176";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"0200021762022";"020002176";"2022";2;;;;;;;;;;;2;;1;;;;;;;;;;;1;
"0200021762023";"020002176";"2023";2;;;2;;;;;;;;;;;;;;;;;;;;;;
"0200021842021";"020002184";"2021";2;1;;1;1;;1;;;;;1;;4;;;;;;;;;;;4;
"0200021842022";"020002184";"2022";1;1;;;;;;;;;;;;4;;;;;;1;;;;;3;
"0200021842023";"020002184";"2023";1;1;;;;;;;;;;;;4;;;;;;2;;;;;1;
"0200021922021";"020002192";"2021";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200021922022";"020002192";"2022";1;;1;;;;1;;;;;;;;;;;;;;;;;;;
"0200022182021";"020002218";"2021";2;;1;;;;;;;;;1;;;;;;;;;;;;;;
"0200022182023";"020002218";"2023";1;;1;1;;;;;;;;;;1;;1;1;;;;;;;;;
"0200022262021";"020002226";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0200022422021";"020002242";"2021";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"0200023092021";"020002309";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200025072021";"020002507";"2021";1;1;;;;;;;;;;;;3;;;;;;;;;;;3;
"0200025072022";"020002507";"2022";;;;;;;;;;;;;;3;;;;;;;;;;;3;
"0200025072023";"020002507";"2023";;;;;;;;;;;;;;4;;;;;;;;;;;2;
"0200025802021";"020002580";"2021";1;;;;;;;;;;;1;;6;;;;;;1;;;;;5;
"0200025802022";"020002580";"2022";;;;;;;;;;;;;;10;;;;;;;;;;;10;
"0200025802023";"020002580";"2023";;;;;;;;;;;;;;3;;;;;;;;;;;3;
"0200026892023";"020002689";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"0200027392022";"020002739";"2022";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200030182021";"020003018";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200032082022";"020003208";"2022";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200036462023";"020003646";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200036612021";"020003661";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;1;1
"0200036612022";"020003661";"2022";1;;;;;;;;;;;1;;2;;;;;;;;;;;2;
"0200036612023";"020003661";"2023";;;;;;;;;;;;;;4;;;;;;;;;;;4;
"0200036792022";"020003679";"2022";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"0200036792023";"020003679";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200036872021";"020003687";"2021";;;;;;;;;;;;;;3;;;;;;;;;;;2;1
"0200036872022";"020003687";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200036952021";"020003695";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;1;
"0200037942023";"020003794";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200038022022";"020003802";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200038282021";"020003828";"2021";;;;;;;;;;;;;;4;;;;;;;;;;;4;
"0200038282022";"020003828";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200038282023";"020003828";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200038362023";"020003836";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;;
"0200038772021";"020003877";"2021";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"0200038772022";"020003877";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"0200038772023";"020003877";"2023";1;;;1;;;1;;;;;;;;;;;;;;;;;;;
"0200039272021";"020003927";"2021";1;;;;;;1;;;;;;;1;;;;;;;;;;;1;
"0200039272022";"020003927";"2022";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200039272023";"020003927";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"0200039432021";"020003943";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200039432022";"020003943";"2022";2;;2;1;;;;;;;;;;;;;;;;;;;;;;
"0200039432023";"020003943";"2023";2;;;1;;;;;;;;;;4;;1;;;;;;;;;2;
"0200039842022";"020003984";"2022";1;;;1;;;;;;;;;;2;;;;;;1;;;;;1;
"0200040082021";"020004008";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"0200040082022";"020004008";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"0200040082023";"020004008";"2023";2;1;;;;;;;;;;1;;2;1;;;;;1;;;;;;
"0200040162023";"020004016";"2023";1;1;1;1;;;;;;;;;;1;;;;;;;;;;;1;
"0200040242022";"020004024";"2022";3;;;1;1;;1;;;;;2;;1;;;;;;;;;;;1;
"0200040242023";"020004024";"2023";2;;;;;;;;;;;2;;;;;;;;;;;;;;
"0200040572021";"020004057";"2021";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"0200040652021";"020004065";"2021";1;1;;1;;;;;;;;;;;;;;;;;;;;;;
"0200041072021";"020004107";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200041072022";"020004107";"2022";2;1;1;;;;;;;;;;;;;;;;;;;;;;;
"0200041072023";"020004107";"2023";2;1;;;;;;;;;;1;;2;;;;;;;;;;;1;
"0200041492023";"020004149";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"0200041562022";"020004156";"2022";1;;;;1;1;;;;;;;;;;;;;;;;;;;;
"0200041562023";"020004156";"2023";1;;;1;;;1;;;;;;;;;;;;;;;;;;;
"0200042222023";"020004222";"2023";2;;;1;;;1;;;;;;;;;;;;;;;;;;;
"0200043052023";"020004305";"2023";1;;;;;;1;;;;;;;1;;;;;;;;;;;1;
"0200043392021";"020004339";"2021";;;;;;;;;;;;;;2;;;;;;;;;;;2;
"0200043392022";"020004339";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200043392023";"020004339";"2023";;;;;;;;;;;;;;5;;;;;;;;;;;5;
"0200044382023";"020004438";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200045032021";"020004503";"2021";1;;;;;;;;;;;;1;1;;;;;;;;;;;1;
"0200045032022";"020004503";"2022";1;;;1;;;;;;;;;;4;;2;;;;;;;;;2;
"0200045032023";"020004503";"2023";3;1;;;;;;;;;;1;;3;1;;2;;;;;;;;;
"0200045862021";"020004586";"2021";2;1;;1;;;1;;;;;;1;;;;;;;;;;;;;
"0200046512023";"020004651";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"0200046692022";"020004669";"2022";1;1;;1;;;;;;;;;;;;;;;;;;;;;;
"0200046692023";"020004669";"2023";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"0200046932021";"020004693";"2021";2;;;1;1;;1;;;;;;1;;;;;;;;;;;;;
"0200046932022";"020004693";"2022";7;3;;1;;;1;;;;;1;1;;;;;;;;;;;;;
"0200046932023";"020004693";"2023";1;;;;;;;;;;;1;;1;;;;;;;;;;;1;
"0200047012021";"020004701";"2021";2;2;1;;1;;;;;;;;1;;;;;;;;;;;;;
"0200047012022";"020004701";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
