"FINESS";"NATURE_PRINCIPALE";"ANNEE_RECEPTION";"NB_EIGS_EN_COURS";"NB_EIGS_CLOTURE";"NB_EIAS_EN_COURS";"NB_EIAS_CLOTURE";"NB_EI_EN_COURS";"NB_EI_CLOTURE"
"010780930";Condition d'exercice et de réglementation;"2023";0;0;0;0;1;0
"010780963";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;1
"010780963";Tensions sur l'offre;"2023";0;0;0;0;1;1
"010780971";Inondations et fortes pluies;"2022";0;0;0;0;0;0
"010780971";Sinistres;"2023";0;0;0;0;1;0
"010781011";"";"2023";0;0;0;0;0;0
"010781029";Condition d'exercice et de réglementation;"2021";0;0;0;0;0;1
"010781029";Défaillances techniques;"2021";0;0;0;0;0;1
"010781029";Sinistres;"2022";0;0;0;0;0;1
"010781078";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"010784106";Acte(s) de violence autres;"2023";0;0;0;0;0;1
"010784114";Condition d'exercice et de réglementation;"2022";0;0;0;0;0;1
"010784114";Légionellose;"2022";0;0;0;0;0;0
"010784130";Maltraitance;"2021";0;0;0;0;0;1
"010784148";Acte(s) de violence autres;"2023";0;0;0;0;0;2
"010784163";Acte(s) de violence autres;"2021";0;0;0;0;0;1
"010784163";Maltraitance;"2023";0;0;0;0;1;1
"010784163";Sinistres;"2023";0;0;0;0;0;1
"010784171";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;0;1
"010784189";Evénements/incidents dans une structure autres;"2021";0;0;0;0;0;1
"010784189";Hors champ de compétence de l’ARS;"2022";0;0;0;0;0;0
"010784205";Acte(s) de violence autres;"2023";0;0;0;0;1;2
"010784205";Chute;"2021";0;0;0;1;0;0
"010784205";Condition d'exercice et de réglementation;"2023";0;0;0;0;1;0
"010784205";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;2
"010784205";Fausse route;"2022";0;2;0;0;0;0
"010784205";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010784205";Maltraitance;"2023";0;0;0;0;1;0
"010784205";Sécurité des établissements et des organismes;"2022";0;0;0;0;0;1
"010784213";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;0;1
"010784213";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;1
"010784213";Situations conflictuelles avec un ou des tiers;"2021";0;0;0;0;0;1
"010784262";Evénements/incidents dans une structure autres;"2021";0;0;0;0;0;1
"010784288";Condition d'exercice et de réglementation;"2021";0;0;0;0;0;1
"010784296";Acte(s) de violence autres;"2022";0;0;0;0;0;1
"010784296";Evénements/incidents dans une structure autres;"2021";0;0;0;0;0;1
"010784304";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;1
"010784304";Hors champ de compétence de l’ARS;"2022";0;0;0;0;0;0
"010784353";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010784510";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010784692";Chute;"2023";1;0;0;0;0;0
"010784692";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;1
"010784775";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010785400";IRA - Infection Respiratoire Aigue;"2023";0;0;0;0;0;0
"010785681";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;1
"010785681";Tensions sur l'offre;"2022";0;0;0;0;0;1
"010785822";Acte(s) de violence autres;"2023";0;0;0;0;0;1
"010785822";Condition d'exercice et de réglementation;"2023";0;0;0;0;1;1
"010785822";GEA - Gastro-entérite Aigue;"2021";0;0;0;0;0;0
"010785822";Tensions sur l'offre;"2022";0;0;0;0;0;2
"010785822";Tentative de suicide;"2022";0;0;0;1;0;0
"010786002";Chute;"2021";0;0;0;1;0;0
"010786002";Condition d'exercice et de réglementation;"2023";0;0;0;0;0;2
"010786002";Défaillances techniques;"2022";0;0;0;0;0;1
"010786036";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010786036";Toxi-Infection Alimentaire Collective (TIAC);"2023";0;0;0;0;0;0
"010786077";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010786101";Condition d'exercice et de réglementation;"2022";0;0;0;0;1;0
"010786119";Sécurité des établissements et des organismes;"2022";0;0;0;0;0;1
"010786135";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"010786150";Maltraitance;"2022";0;0;0;0;0;1
"010786176";Prise en charge médicamenteuse;"2023";0;0;0;1;0;0
"010786853";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;3
"010786853";Chute;"2022";0;0;0;1;0;0
"010786853";Hors champ de compétence de l’ARS;"2021";0;0;0;0;0;0
"010787612";Tensions sur l'offre;"2021";0;0;0;0;0;1
"010788024";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010788032";Chute;"2023";1;0;0;0;0;0
"010788032";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010788040";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"010788230";Défaillances techniques;"2021";0;0;0;0;0;1
"010788230";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;0
"010788230";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;2
"010788230";Tensions sur l'offre;"2022";0;0;0;0;0;1
"010788339";Acte(s) de violence autres;"2023";0;0;0;0;0;1
"010788339";Hors champ de compétence de l’ARS;"2022";0;0;0;0;0;0
"010788388";Acte(s) de violence autres;"2022";0;0;0;0;0;1
"010788388";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010788396";Défaillances techniques;"2022";0;0;0;0;0;2
"010788396";Prise en charge médicamenteuse;"2023";0;0;3;0;0;0
"010788438";GEA - Gastro-entérite Aigue;"2021";0;0;0;0;0;0
"010788669";Dispositif médical;"2023";0;0;1;0;0;0
"010788743";Condition d'exercice et de réglementation;"2023";0;0;0;0;1;0
"010788743";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;1;0;0
"010788743";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010788743";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;0;2
"010788768";Autre prise en charge;"2022";0;0;0;1;0;0
"010788768";Evénements/incidents dans une structure autres;"2023";0;0;0;0;1;0
"010788768";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"010788768";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;0;1
"010788768";Sécurité des établissements et des organismes;"2023";0;0;0;0;1;0
"010788768";Tensions sur l'offre;"2023";0;0;0;0;1;0
"010788990";Acte(s) de violence autres;"2022";0;0;0;0;0;1
"010789030";Condition d'exercice et de réglementation;"2022";0;0;0;0;0;1
"010789055";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"010789188";Chute;"2022";0;1;0;0;0;0
"010789394";Hors champ de compétence de l’ARS;"2023";0;0;0;0;0;0
"010789402";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2021";0;0;0;1;0;0
"010789402";Défaillances techniques;"2023";0;0;0;0;0;1
"010789402";IRA - Infection Respiratoire Aigue_V1;"2022";0;0;0;0;0;0
"010789402";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;0;1
"010789402";Sécurité des établissements et des organismes;"2022";0;0;0;0;0;1
"010789758";Acte(s) de violence autres;"2023";0;0;0;0;1;0
"010789758";Acte(s) de violence à caractère sexuel;"2021";0;0;0;0;0;1
"010789758";Défaillances techniques;"2023";0;0;0;0;0;1
"010789758";Maltraitance;"2022";0;0;0;0;0;1
"010789758";Tensions sur l'offre;"2021";0;0;0;0;0;1
"010789899";Défaillances techniques;"2023";0;0;0;0;0;1
"010789899";IRA - Infection Respiratoire Aigue_V1;"2023";0;0;0;0;0;0
"010789915";Tensions sur l'offre;"2021";0;0;0;0;0;1
"010789949";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;1;0
"010789956";Acte(s) de violence autres;"2023";0;0;0;0;3;1
"010789956";Autre prise en charge;"2022";1;0;0;0;0;0
"010789956";Chute;"2021";0;0;0;1;0;0
"010789956";Défaillances techniques;"2021";0;0;0;0;0;1
"010789956";Fausse route;"2023";1;0;0;0;0;0
"010789964";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;1;0
"010789964";Condition d'exercice et de réglementation;"2023";0;0;0;0;2;0
"010789964";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010789964";Maltraitance;"2023";0;0;0;0;0;2
"010789980";Chute;"2022";0;0;0;3;0;0
"010790020";Acte(s) de violence autres;"2023";0;0;0;0;6;5
"010790020";Défaillances techniques;"2023";0;0;0;0;1;0
"010790020";Mouvements sociaux;"2021";0;0;0;0;0;1
"020000097";Présence de Légionelles;"2022";0;0;0;0;0;0
"020000105";Chute;"2023";1;0;0;0;0;0
"020000162";Autre prise en charge;"2023";0;1;0;1;0;0
"020000162";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2023";0;0;0;1;0;0
"020000162";Défaillances techniques;"2023";0;0;0;0;0;1
"020000162";Fugue SDRE/SDJ/SDT;"2022";0;0;1;5;0;0
"020000162";Hépatite A;"2022";0;0;0;0;0;0
"020000162";Infection associée aux soins (IAS) en ES;"2023";0;0;2;1;0;0
"020000162";Infection invasive à streptocoques A;"2023";0;0;0;0;0;0
"020000162";Listériose;"2022";0;0;0;0;0;0
"020000162";Légionellose;"2022";0;0;0;0;0;0
"020000162";Orthopoxviroses dont variole;"2022";0;0;0;0;0;0
"020000162";RAPASAN (MT ou BMR);"2023";0;0;0;0;0;0
"020000162";Tensions sur l'offre;"2023";0;0;0;0;0;3
"020000162";Toxi-Infection Alimentaire Collective (TIAC);"2022";0;0;0;0;0;0
"020000162";Tuberculose;"2023";0;0;0;0;0;0
"020000303";Fausse route;"2022";0;1;0;0;0;0
"020000303";Infection associée aux soins (IAS) en ES;"2023";0;0;0;3;0;0
"020000303";Prise en charge médicamenteuse;"2022";0;1;0;0;0;0
"020000394";Autre situation exceptionnelle;"2023";0;0;0;0;0;0
"020000394";Bilharziose;"2021";0;0;0;0;0;0
"020000394";Défaillances techniques;"2023";0;0;0;0;0;1
"020000394";Hépatite A;"2022";0;0;0;0;0;0
"020000394";Légionellose;"2021";0;0;0;0;0;0
"020000394";Pollution activité industrielle;"2023";0;0;0;0;0;0
"020000394";Prise en charge médicamenteuse;"2023";1;0;0;0;0;0
"020000394";Sinistres;"2022";0;0;0;0;1;0
"020000394";Sécurité des réseaux et cyberattaques;"2022";0;0;0;0;1;0
"020000394";Tensions sur l'offre;"2023";0;0;0;0;1;0
"020000394";Vols et falsifications d'ordonnances et de cartes professionnelles;"2022";0;0;0;0;0;1
"020000402";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;1
"020000493";Mouvements sociaux;"2023";0;0;0;0;2;0
"020000519";Intoxication au CO;"2023";0;0;0;0;0;0
"020000519";Listériose;"2023";0;0;0;0;0;0
"020000519";Légionellose;"2022";0;0;0;0;0;0
"020000519";Mésothéliome;"2022";0;0;0;0;0;0
"020000519";Orthopoxviroses dont variole;"2022";0;0;0;0;0;0
"020000519";Prise en charge en urgence;"2022";0;1;0;0;0;0
"020000519";RAPASAN (MT ou BMR);"2023";0;0;0;0;0;0
"020000519";Suspicion Creutzfeldt Jacob et autres encéphalopathies subaiguës spongiformes transmissibles humaines;"2022";0;0;0;0;0;0
"020000519";Sécurité des réseaux et cyberattaques;"2022";0;0;0;0;0;2
"020000519";Tensions sur l'offre;"2022";0;0;0;0;0;1
"020000519";Tuberculose;"2022";0;0;0;0;0;0
"020000527";EDCH – eau de consommation humaine;"2021";0;0;0;0;0;0
"020000535";Intoxication au CO;"2021";0;0;0;0;0;0
"020000543";Fugue SDRE/SDJ/SDT;"2023";0;0;2;1;0;0
"020000543";Sinistres;"2022";0;0;0;0;0;1
"020001061";Prise en charge pédiatrique;"2023";1;0;0;0;0;0
"020001061";Tuberculose;"2022";0;0;0;0;0;0
"020001087";Tensions sur l'offre;"2023";0;0;0;0;0;13
"020002119";Autre prise en charge;"2022";0;1;0;0;0;0
"020002119";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"020002143";GEA - Gastro-entérite Aigue;"2021";0;0;0;0;0;0
"020002176";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"020002689";Autre prise en charge;"2023";1;0;0;0;0;0
"020003927";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"020004024";Autre prise en charge;"2022";0;1;0;0;0;0
"020004057";Chute;"2021";0;1;0;0;0;0
"020004107";Acte(s) de violence autres;"2022";0;0;0;0;0;1
"020004107";Toxi-Infection Alimentaire Collective (TIAC);"2023";0;0;0;0;0;0
"020004503";Chute;"2023";1;0;0;0;0;0
"020004669";Fausse route;"2023";1;0;0;0;0;0
"020004669";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"020004693";Evénements/incidents dans une structure autres;"2022";0;0;0;0;1;0
"020006664";Fugue SDRE/SDJ/SDT;"2022";0;0;0;1;0;0
"020007274";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"020007282";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"020007282";Mouvements sociaux;"2022";0;0;0;0;1;0
"020007290";Evénements/incidents dans une structure autres;"2023";0;0;0;0;1;0
"020007290";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"020007290";IRA - Infection Respiratoire Aigue_V1;"2023";0;0;0;0;0;0
"020007290";Mouvements sociaux;"2022";0;0;0;0;1;0
"020007308";Chute;"2023";1;0;0;0;0;0
"020007308";Défaillances techniques;"2023";0;0;0;0;1;0
"020008637";IRA - Infection Respiratoire Aigue_V1;"2023";0;0;0;0;0;0
"020009023";IRA - Infection Respiratoire Aigue_V1;"2023";0;0;0;0;0;0
"020009114";Défaillances techniques;"2023";0;0;0;0;0;1
"020009163";Sinistres;"2022";0;0;0;0;0;1
"020009197";Gale;"2021";0;0;0;0;0;0
"020009650";Autre prise en charge;"2022";0;0;0;1;0;0
"020010047";Défaillances techniques;"2023";0;0;0;0;0;1
"020012522";Défaillances techniques;"2022";0;0;0;0;0;1
"020012522";IRA - Infection Respiratoire Aigue_V1;"2022";0;0;0;0;0;0
"020014957";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"030000012";Matériovigilance;"2023";0;0;0;0;0;0
"030000012";Tensions sur l'offre;"2023";0;0;0;0;1;0
"030000061";Chute;"2022";0;1;0;0;0;0
"030000061";Dispositif médical;"2022";0;1;0;0;0;0
"030000061";Grippe(s);"2022";0;0;0;0;0;0
"030000061";Infection Invasive à Méningocoque (IIM);"2023";0;0;0;0;0;0
"030000061";Intoxication au CO;"2021";0;0;0;0;0;0
"030000061";Listériose;"2023";0;0;0;0;0;0
"030000061";Légionellose;"2023";0;0;0;0;0;0
"030000061";Matériovigilance;"2021";0;0;0;0;0;0
"030000061";Mouvements sociaux;"2023";0;0;0;0;1;0
"030000061";Mésothéliome;"2023";0;0;0;0;0;0
"030000061";Prise en charge médicamenteuse;"2022";0;1;0;0;0;0
"030000061";Prise en charge pédiatrique;"2023";1;0;0;0;0;0
"030000061";Sécurité des réseaux et cyberattaques;"2022";0;0;0;0;0;2
"030000061";Toxi-Infection Alimentaire Collective (TIAC);"2022";0;0;0;0;0;0
"030000061";Tuberculose;"2023";0;0;0;0;0;0
"030000079";Condition d'exercice et de réglementation;"2022";0;0;0;0;0;1
"030000079";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;2;0;0
"030000079";Fugue SDRE/SDJ/SDT;"2021";0;0;0;1;0;0
"030000079";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"030000079";Listériose;"2023";0;0;0;0;0;0
